"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","3/30","110/9421",0.0272727272727273,8.56454545454545,4.51035966323194,0.00499949725852095,0.163327196867411,0.130758615727801,"9088/995/983",3
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","4/30","233/9421",0.0171673819742489,5.39113018597997,3.83595884215925,0.00602869334373243,0.163327196867411,0.130758615727801,"8736/2273/1301/6711",4
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","3/30","138/9421",0.0217391304347826,6.8268115942029,3.89723417438666,0.00935094312416251,0.163327196867411,0.130758615727801,"9088/995/983",3
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","3/30","138/9421",0.0217391304347826,6.8268115942029,3.89723417438666,0.00935094312416251,0.163327196867411,0.130758615727801,"10580/6517/32",3
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","3/30","158/9421",0.0189873417721519,5.9626582278481,3.55547178710893,0.0134860292314247,0.163327196867411,0.130758615727801,"9088/995/983",3
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","2/30","66/9421",0.0303030303030303,9.51616161616162,3.92395596497788,0.0185335913602293,0.163327196867411,0.130758615727801,"8630/5959",2
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","2/30","66/9421",0.0303030303030303,9.51616161616162,3.92395596497788,0.0185335913602293,0.163327196867411,0.130758615727801,"57678/196051",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","2/30","69/9421",0.0289855072463768,9.1024154589372,3.8178333122952,0.0201513894632703,0.163327196867411,0.130758615727801,"8630/5959",2
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","2/30","70/9421",0.0285714285714286,8.97238095238095,3.78388730030807,0.0207034474902352,0.163327196867411,0.130758615727801,"6517/32",2
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","3/30","214/9421",0.014018691588785,4.40233644859813,2.84547799412274,0.0298984996480411,0.207491594681043,0.166116324874371,"995/1073/983",3
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","3/30","232/9421",0.0129310344827586,4.06077586206897,2.66791232232984,0.0367102435445568,0.207491594681043,0.166116324874371,"128239/2934/1073",3
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","2/30","98/9421",0.0204081632653061,6.40884353741497,3.04207399053045,0.0385759342443607,0.207491594681043,0.166116324874371,"2934/1073",2
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","2/30","103/9421",0.0194174757281553,6.09773462783171,2.94011719137361,0.0422204911994309,0.207491594681043,0.166116324874371,"1300/1301",2
"Metabolism","Lipid metabolism","hsa00564","Glycerophospholipid metabolism","2/30","105/9421",0.019047619047619,5.9815873015873,2.90120096840118,0.0437135971918424,0.207491594681043,0.166116324874371,"57678/196051",2
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","2/30","107/9421",0.0186915887850467,5.86978193146417,2.86327752609093,0.0452264206892585,0.207491594681043,0.166116324874371,"23235/32",2
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","2/30","109/9421",0.018348623853211,5.76207951070336,2.82630200226861,0.0467586692238971,0.207491594681043,0.166116324874371,"6517/32",2
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","1/30","16/9421",0.0625,19.6270833333333,4.21459266878852,0.0497897805366104,0.207945554005844,0.166479761546561,"8639",1
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","1/30","18/9421",0.0555555555555556,17.4462962962963,3.94731062155672,0.0558423808116648,0.21364277728865,0.171040918807815,"32",1
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","2/30","122/9421",0.0163934426229508,5.14808743169399,2.60639270640943,0.0571720108237232,0.21364277728865,0.171040918807815,"6517/32",2
