"ensembl_id","symbol","p_valor"
"ENSG00000095637.22","SORBS1",0.000788474047518584
"ENSG00000090889.12","KIF4A",0.0153635598622438
"ENSG00000175063.17","UBE2C",0.024965404014502
"ENSG00000230838.1","LINC01614",0.0360196876678918
"ENSG00000029559.7","IBSP",0.0668101452289507
"ENSG00000088325.16","TPX2",0.0668204952823749
"ENSG00000060718.22","COL11A1",0.0675841015991407
"ENSG00000170312.16","CDK1",0.0765786051117764
"ENSG00000077152.11","UBE2T",0.0782779933266807
"ENSG00000135437.10","RDH5",0.0798074422580359
"ENSG00000123485.12","HJURP",0.0912105358389318
"ENSG00000148180.21","GSN",0.110434319387659
"ENSG00000079308.19","TNS1",0.1420202465965
"ENSG00000143228.13","NUF2",0.147320878309591
"ENSG00000124743.6","KLHL31",0.153795208659517
"ENSG00000152253.9","SPC25",0.170807503368597
"ENSG00000173641.18","HSPB7",0.228476994264105
"ENSG00000117650.13","NEK2",0.25144569738596
"ENSG00000025423.11","HSD17B6",0.253815854836274
"ENSG00000123500.10","COL10A1",0.25732330167472
"ENSG00000076555.15","ACACB",0.314552159667887
"ENSG00000166803.14","PCLAF",0.316564774508127
"ENSG00000137745.12","MMP13",0.339355024396683
"ENSG00000133800.9","LYVE1",0.343760190303996
"ENSG00000181856.15","SLC2A4",0.368427746569491
"ENSG00000158402.20","CDC25C",0.36870463441482
"ENSG00000105974.13","CAV1",0.387828477770294
"ENSG00000165410.15","CFL2",0.393931668879446
"ENSG00000203805.11","PLPP4",0.39480658713538
"ENSG00000183856.11","IQGAP3",0.432729638866696
"ENSG00000099953.10","MMP11",0.45434123960257
"ENSG00000105011.9","ASF1B",0.510016999671729
"ENSG00000169607.13","CKAP2L",0.525034723424442
"ENSG00000170145.5","SIK2",0.527884891890486
"ENSG00000115306.16","SPTBN1",0.534780496970898
"ENSG00000134962.7","KLB",0.54656437533898
"ENSG00000145708.11","CRHBP",0.608830967233848
"ENSG00000123612.16","ACVR1C",0.609651593544605
"ENSG00000163815.6","CLEC3B",0.653180350944648
"ENSG00000120049.20","KCNIP2",0.679605524280675
"ENSG00000172901.20","LVRN",0.700033735580833
"ENSG00000101605.13","MYOM1",0.710792910941364
"ENSG00000127564.17","PKMYT1",0.723616057935393
"ENSG00000056998.20","GYG2",0.781426401039644
"ENSG00000119927.14","GPAM",0.799831841691431
"ENSG00000169418.10","NPR1",0.841385111403973
"ENSG00000131471.7","AOC3",0.857593680871501
"ENSG00000279204.1",NA,0.90682013190702
"ENSG00000276043.5","UHRF1",0.9090227792109
"ENSG00000022267.19","FHL1",0.984982331419992
